data_size,batch_size,layers,eochs,max mcc,avg mcc,iterations
2000,15,6,8,0.2014,0.1594,5
2000,10,5,8,0.20544,0.1732,5
2000,5,5,8,0.21761,0.20535,5
2000,3,5,8,0.2037,0.1989,5
2000,2,5,8,0.2239,0.21758,5
2000,1,5,8,0.23824,0.23174,5
